timestamp,city,temperature,humidity,pressure,weather,wind_speed,season
2024-10-14 13:49:30.305890,Kottayam,26.13,87,1008,light rain,0.44,Post-monsoon
2024-10-14 13:49:30.972967,Malappuram,28.09,74,1008,broken clouds,3.09,Post-monsoon
2024-10-14 13:49:32.758071,Pathanamthitta,24.42,93,1008,moderate rain,0.98,Post-monsoon
2024-10-14 13:49:33.384685,Thiruvananthapuram,29.99,74,1008,haze,3.09,Post-monsoon
2024-10-14 13:49:34.156100,Alirajpur,29.93,64,1009,overcast clouds,2.3,Post-monsoon
2024-10-14 13:49:35.664556,Ashoknagar,30.44,50,1010,broken clouds,3.03,Post-monsoon
2024-10-14 13:49:37.421922,Balaghat,30.31,66,1009,broken clouds,1.56,Post-monsoon
2024-10-14 13:49:37.730180,Bhind,33.07,41,1010,clear sky,0.84,Post-monsoon
2024-10-14 13:49:38.025350,Bhopal,30.77,54,1010,overcast clouds,1.57,Post-monsoon
2024-10-14 13:49:38.340354,Chhatarpur,31.57,43,1010,few clouds,2.05,Post-monsoon
2024-10-14 13:49:38.655441,Chhindwara,28.64,63,1010,broken clouds,1.48,Post-monsoon
2024-10-14 13:49:38.985166,Datia,31.53,41,1010,overcast clouds,2.35,Post-monsoon
2024-10-14 13:49:39.301186,Dewas,29.1,60,1010,overcast clouds,0.87,Post-monsoon
2024-10-14 13:49:39.608638,Dhar,29.29,61,1010,overcast clouds,1.41,Post-monsoon
2024-10-14 13:49:39.921447,Dindori,28.25,66,1011,broken clouds,1.78,Post-monsoon
2024-10-14 13:49:40.285152,Guna,30.21,53,1010,broken clouds,2.38,Post-monsoon
2024-10-14 13:49:40.599098,Gwalior,30.07,49,1011,broken clouds,0.42,Post-monsoon
2024-10-14 13:49:40.906836,Harda,31.16,61,1009,scattered clouds,0.82,Post-monsoon
2024-10-14 13:49:41.227412,Hoshangabad,30.96,61,1010,overcast clouds,0.57,Post-monsoon
2024-10-14 13:49:41.532472,Indore,29.1,70,1010,few clouds,2.57,Post-monsoon
2024-10-14 13:49:41.853294,Khandwa,30.33,63,1009,broken clouds,1.71,Post-monsoon
2024-10-14 13:49:42.154564,Khargone,31.43,60,1009,broken clouds,2.53,Post-monsoon
2024-10-14 13:49:42.488488,Mandla,29.74,65,1010,broken clouds,1.84,Post-monsoon
2024-10-14 13:49:42.793903,Mandsaur,30.74,53,1010,scattered clouds,3.05,Post-monsoon
2024-10-14 13:49:43.099143,Morena,32.33,42,1010,broken clouds,0.5,Post-monsoon
2024-10-14 13:49:43.407287,Narsinghpur,31.14,58,1009,few clouds,1.9,Post-monsoon
2024-10-14 13:49:44.167051,Rajgarh,34.22,13,1011,overcast clouds,1.84,Post-monsoon
2024-10-14 13:49:44.510436,Ratlam,29.74,59,1010,overcast clouds,2.69,Post-monsoon
2024-10-14 13:49:44.836220,Sagar,29.38,60,1010,scattered clouds,2.3,Post-monsoon
2024-10-14 13:49:45.149416,Satna,32.19,40,1010,few clouds,2.6,Post-monsoon
2024-10-14 13:49:45.476998,Sehore,30.74,55,1010,overcast clouds,1.53,Post-monsoon
2024-10-14 13:49:45.790469,Seoni,29.16,64,1010,scattered clouds,1.63,Post-monsoon
2024-10-14 13:49:46.117671,Shajapur,30.6,55,1010,overcast clouds,1.97,Post-monsoon
2024-10-14 13:49:46.447909,Sheopur,30.62,47,1010,overcast clouds,2.39,Post-monsoon
2024-10-14 13:49:46.750784,Tikamgarh,31.21,46,1010,clear sky,2.46,Post-monsoon
2024-10-14 13:49:47.059084,Ujjain,29.83,61,1010,overcast clouds,1.73,Post-monsoon
2024-10-14 13:49:47.385333,Vidisha,31.57,49,1010,scattered clouds,0.67,Post-monsoon
2024-10-14 13:49:47.704093,Ahmednagar,31.02,47,1009,broken clouds,2.59,Post-monsoon
2024-10-14 13:49:48.016730,Akola,30.43,63,1009,broken clouds,0.89,Post-monsoon
2024-10-14 13:49:48.349526,Buldhana,29.32,61,1009,broken clouds,1.27,Post-monsoon
2024-10-14 13:49:48.657435,Kolhapur,29.48,62,1009,overcast clouds,4.09,Post-monsoon
2024-10-14 13:49:48.972955,Mumbai,31.99,70,1008,haze,2.57,Post-monsoon
2024-10-14 13:49:49.300500,Nagpur,33.01,52,1009,haze,1.03,Post-monsoon
2024-10-14 13:49:49.646417,Nashik,29.91,59,1009,overcast clouds,2.98,Post-monsoon
2024-10-14 13:49:49.954822,Pune,30.48,54,1009,overcast clouds,3.59,Post-monsoon
2024-10-14 13:49:50.699416,Ratnagiri,29.34,75,1008,overcast clouds,4.26,Post-monsoon
2024-10-14 13:49:51.006744,Sangli,30.27,56,1009,overcast clouds,4.57,Post-monsoon
2024-10-14 13:49:51.348088,Satara,29.03,57,1009,overcast clouds,2.76,Post-monsoon
2024-10-14 13:49:51.650705,Sholapur,31.41,50,1008,overcast clouds,2.84,Post-monsoon
2024-10-14 13:49:51.967196,Thane,32.95,66,1008,haze,2.57,Post-monsoon
2024-10-14 13:49:52.331145,Yavatmal,30.03,62,1009,scattered clouds,1.84,Post-monsoon
2024-10-14 13:49:53.935454,Kohima,24.43,74,1011,scattered clouds,1.78,Post-monsoon
2024-10-14 13:49:54.246056,Mokokchung,27.5,51,1010,clear sky,1.81,Post-monsoon
2024-10-14 13:49:54.567944,Delhi,32.05,33,1010,haze,2.57,Post-monsoon
2024-10-14 13:49:54.892912,Balasore,33.08,52,1009,overcast clouds,2.12,Post-monsoon
2024-10-14 13:49:55.209246,Bargarh,31.83,60,1009,broken clouds,1.35,Post-monsoon
2024-10-14 13:49:56.098003,Dhenkanal,32.59,53,1009,clear sky,2.11,Post-monsoon
2024-10-14 13:49:57.786536,Kendrapara,33.51,51,1008,broken clouds,1.95,Post-monsoon
2024-10-14 13:49:58.969938,Nayagarh,32.03,56,1009,broken clouds,2.01,Post-monsoon
2024-10-14 13:49:59.954233,Rayagada,31.86,57,1009,few clouds,1.95,Post-monsoon
2024-10-14 13:50:00.600131,Amritsar,30.97,42,1011,haze,2.57,Post-monsoon
2024-10-14 13:50:00.934808,Bhatinda,34.96,17,1010,scattered clouds,2.45,Post-monsoon
2024-10-14 13:50:01.250621,Faridkot,35.83,12,1010,few clouds,3.01,Post-monsoon
2024-10-14 13:50:01.626014,Fatehgarh,33.2,32,1010,broken clouds,2.28,Post-monsoon
2024-10-14 13:50:01.926058,Fazilka,35.99,13,1010,scattered clouds,2.63,Post-monsoon
2024-10-14 13:50:02.966609,Hoshiarpur,32.16,21,1011,clear sky,2.46,Post-monsoon
2024-10-14 13:50:03.266394,Jalandhar,34.17,15,1011,clear sky,1.44,Post-monsoon
2024-10-14 13:50:03.605475,Ludhiana,34.57,13,1010,clear sky,2.97,Post-monsoon
2024-10-14 13:50:03.976303,Mansa,35.56,13,1010,scattered clouds,3.9,Post-monsoon
2024-10-14 13:50:04.281729,Moga,35.74,10,1010,few clouds,4.16,Post-monsoon
2024-10-14 13:50:04.579390,Mohali,33.16,18,1010,few clouds,4.37,Post-monsoon
2024-10-14 13:50:04.940127,Nawanshahr,33.32,18,1011,clear sky,2.76,Post-monsoon
2024-10-14 13:50:05.268628,Pathankot,30.91,29,1011,clear sky,1.01,Post-monsoon
2024-10-14 13:50:05.595652,Patiala,34.66,13,1010,few clouds,3.59,Post-monsoon
2024-10-14 13:50:06.312874,Sangrur,34.99,13,1010,broken clouds,3.44,Post-monsoon
2024-10-14 13:50:07.114258,Ajmer,31.66,36,1010,broken clouds,2.98,Post-monsoon
2024-10-14 13:50:07.437806,Baran,32.0,49,1010,overcast clouds,3.34,Post-monsoon
2024-10-14 13:50:07.764520,Bikaner,34.37,19,1010,overcast clouds,0.95,Post-monsoon
2024-10-14 13:50:08.078805,Bundi,31.61,44,1010,overcast clouds,2.43,Post-monsoon
2024-10-14 13:50:08.389296,Churu,34.02,14,1011,overcast clouds,1.7,Post-monsoon
2024-10-14 13:50:08.703966,Ganganagar,35.88,14,1010,broken clouds,2.66,Post-monsoon
2024-10-14 13:50:09.016107,Hanumangarh,35.31,16,1010,clear sky,1.74,Post-monsoon
2024-10-14 13:50:09.406713,Jalore,33.56,41,1009,broken clouds,1.74,Post-monsoon
2024-10-14 13:50:09.719329,Jodhpur,34.13,30,1010,overcast clouds,4.1,Post-monsoon
2024-10-14 13:50:10.528368,Pratapgarh,29.88,57,1010,scattered clouds,2.52,Post-monsoon
2024-10-14 13:50:10.828358,Sikar,33.36,16,1011,broken clouds,2.23,Post-monsoon
2024-10-14 13:50:11.456610,Tonk,32.36,40,1010,broken clouds,1.58,Post-monsoon
2024-10-14 13:50:11.752423,Udaipur,29.5,62,1011,broken clouds,2.59,Post-monsoon
2024-10-14 13:50:12.064439,Ariyalur,23.55,94,1008,light rain,2.57,Post-monsoon
2024-10-14 13:50:12.378657,Chengalpattu,26.5,70,1007,moderate rain,6.19,Post-monsoon
2024-10-14 13:50:12.750156,Coimbatore,27.88,74,1009,light intensity drizzle,2.06,Post-monsoon
2024-10-14 13:50:13.173028,Cuddalore,28.21,80,1007,overcast clouds,4.16,Post-monsoon
